BldCode,CenterX,CenterY,Height,Area
1,363889.09,3714276.88,60,32.03
2,363874.68,3714263.80,60,40.89
3,363877.51,3714272.35,60,124.32
4,363860.26,3714248.09,60,131.66
5,363888.91,3714261.00,60,139.92
6,363903.82,3714234.62,90,137.09
7,363899.66,3714224.31,180,386.48
8,363912.66,3714194.12,60,181.25
9,363911.45,3714215.40,60,63.96
10,363912.51,3714210.88,90,64.56
11,363907.54,3714250.80,60,28.53
12,363902.09,3714267.42,90,257.63
13,363914.41,3714201.13,90,71.05
14,363903.26,3714188.48,60,118.49
15,363940.81,3714091.60,90,168.50
16,363941.54,3714075.06,60,47.79
17,363942.77,3714058.87,60,51.53
18,363948.31,3714060.87,90,95.02
19,363935.53,3714073.08,60,27.96
20,363906.86,3714057.35,150,559.06
21,363897.71,3714096.64,360,3269.33
22,363925.84,3714130.09,270,625.03
23,363909.35,3714133.95,120,62.90
24,363864.79,3714112.10,360,802.59
25,363889.91,3714053.65,60,49.87
26,363877.64,3714050.36,90,60.57
27,363886.51,3714045.81,60,152.80
28,363881.43,3714062.74,60,44.54
29,363875.02,3714062.21,90,65.06
30,363848.97,3714049.88,90,373.26
31,363845.31,3714068.50,60,158.72
32,363854.04,3714081.08,60,30.56
33,363837.27,3714104.33,330,1233.28
34,363826.68,3714074.15,60,33.79
35,363809.83,3714062.47,60,47.82
36,363806.54,3714070.93,60,65.08
37,363800.40,3714045.49,150,346.25
38,363786.76,3714052.30,60,17.39
39,363790.77,3714069.91,180,122.89
40,363786.91,3714107.12,120,102.67
41,363790.61,3714100.36,60,233.58
42,363807.79,3714099.50,240,717.99
43,363817.40,3714065.75,60,164.21
44,363831.86,3714184.23,240,934.91
45,363862.05,3714182.10,240,435.51
46,363879.95,3714188.85,60,146.80
47,363891.33,3714184.66,120,54.09
48,363892.02,3714192.94,60,145.88
49,363889.64,3714209.18,60,71.50
50,363874.36,3714208.57,60,79.51
51,363859.38,3714206.71,60,507.42
52,363848.04,3714229.87,60,26.54
53,363847.81,3714251.21,180,487.43
54,363827.76,3714228.21,60,633.30
55,363805.48,3714214.11,60,77.52
56,363803.89,3714205.76,60,69.98
57,363790.67,3714170.70,240,1183.45
58,363786.80,3714221.13,60,122.67
59,363797.47,3714239.43,210,770.84
60,363825.69,3714250.70,180,415.60
61,363813.24,3714241.24,60,18.28
62,363766.14,3714244.22,120,476.74
63,363769.90,3714220.34,210,746.23
64,363781.58,3714195.40,240,759.76
65,363779.90,3714108.02,90,135.99
66,363783.40,3714085.31,90,49.87
67,363804.54,3714030.37,60,290.54
68,363820.87,3714042.60,90,56.20
69,363826.05,3714039.45,120,89.06
70,363835.34,3714043.48,60,110.89
71,363832.41,3713980.62,120,4221.10
72,363864.28,3714049.56,150,196.34
73,363888.96,3714001.85,150,648.05
74,363876.52,3713971.28,60,84.85
75,363913.08,3713996.51,60,516.85
76,363896.93,3713980.89,60,154.42
77,363953.25,3714011.01,240,1762.06
78,363955.54,3713975.16,60,216.89
