BldCode,CenterX,CenterY,Height,Area
1,365253.62,3713708.65,60,113.12
2,365268.19,3713703.58,60,174.71
3,365287.79,3713696.41,90,80.22
4,365282.97,3713701.75,60,45.31
5,365284.03,3713682.23,60,86.63
6,365296.00,3713678.47,90,77.09
7,365297.93,3713673.61,60,36.10
8,365314.11,3713679.09,60,39.49
9,365321.21,3713690.44,120,132.49
10,365300.42,3713695.46,120,223.05
11,365332.45,3713686.66,60,78.63
12,365341.72,3713682.65,60,76.70
13,365351.82,3713682.42,60,10.26
14,365351.55,3713676.31,60,45.76
15,365350.14,3713668.61,60,120.03
16,365351.72,3713654.02,90,62.99
17,365342.22,3713657.80,60,62.32
18,365336.60,3713668.96,60,92.60
19,365330.72,3713678.06,60,11.43
20,365359.78,3713647.76,120,72.28
21,365356.66,3713579.06,90,129.86
22,365372.90,3713603.59,60,101.05
23,365389.90,3713611.22,60,163.29
24,365376.53,3713619.05,90,81.02
25,365366.92,3713645.96,60,73.52
26,365389.19,3713635.37,60,186.23
27,365393.55,3713644.86,60,59.75
28,365407.57,3713644.68,60,102.09
29,365417.84,3713655.74,60,202.35
30,365394.68,3713652.51,60,21.70
31,365397.51,3713662.94,60,39.96
32,365390.01,3713664.64,60,43.84
33,365387.71,3713657.22,60,28.69
34,365369.40,3713664.38,60,196.71
35,365374.18,3713675.49,60,69.02
36,365448.86,3713646.24,90,120.01
37,365440.86,3713648.05,60,65.32
38,365433.33,3713641.99,90,38.93
39,365459.18,3713642.90,120,161.26
40,365447.54,3713608.51,90,63.78
41,365430.40,3713585.86,60,371.15
42,365408.12,3713628.23,60,130.66
43,365404.83,3713607.82,60,59.37
44,365415.15,3713601.46,60,179.77
45,365410.27,3713590.17,60,87.42
46,365399.92,3713597.97,60,72.39
47,365366.91,3713575.47,90,114.47
48,365394.98,3713555.99,60,100.22
49,365408.64,3713560.86,90,53.05
50,365412.04,3713545.38,60,170.00
51,365401.36,3713547.92,90,62.84
52,365418.34,3713537.05,60,29.79
53,365423.48,3713544.60,60,39.29
54,365418.41,3713557.51,60,97.30
55,365428.55,3713553.41,60,41.36
56,365372.02,3713484.28,60,102.05
57,365377.57,3713496.04,60,70.06
58,365385.14,3713484.46,60,4.92
59,365399.05,3713516.80,150,247.84
60,365358.58,3713537.85,60,50.01
61,365376.94,3713535.68,60,226.18
62,365363.09,3713545.56,60,61.25
63,365351.11,3713559.85,60,3.30
64,365355.93,3713551.63,60,70.17
65,365349.75,3713543.37,60,76.77
66,365344.11,3713555.47,60,117.54
67,365355.51,3713515.00,60,24.50
68,365361.17,3713509.14,60,6.30
69,365352.25,3713509.97,60,24.36
70,365333.46,3713511.58,60,127.92
71,365326.60,3713531.22,120,37.70
72,365325.55,3713513.97,60,32.01
73,365347.21,3713501.64,90,71.25
74,365356.13,3713498.47,60,111.80
75,365244.73,3713576.61,60,49.51
76,365249.37,3713569.65,90,80.44
77,365262.82,3713574.37,90,40.47
78,365262.91,3713561.40,60,47.90
79,365256.20,3713565.21,60,44.25
80,365268.90,3713557.01,60,44.62
81,365276.16,3713567.35,90,49.58
82,365269.03,3713569.88,90,49.35
83,365296.61,3713578.17,90,46.14
84,365284.12,3713563.63,60,49.00
85,365297.28,3713553.55,90,51.16
86,365290.14,3713542.35,90,88.33
87,365278.75,3713555.71,60,39.97
88,365273.33,3713549.04,60,47.25
89,365305.44,3713530.55,90,84.82
90,365298.05,3713536.95,90,106.86
91,365313.43,3713527.52,90,43.75
92,365312.92,3713542.22,120,79.68
93,365320.78,3713535.27,120,54.15
94,365304.36,3713547.74,60,55.83
95,365332.20,3713571.88,60,148.94
96,365323.12,3713558.51,90,76.22
97,365342.75,3713588.03,90,85.46
98,365303.19,3713586.68,60,12.10
99,365308.67,3713605.81,60,100.18
100,365272.48,3713621.38,60,73.91
101,365282.43,3713615.42,60,87.15
102,365290.72,3713607.93,60,107.97
103,365284.77,3713598.91,60,97.64
104,365296.87,3713594.87,60,59.15
105,365290.67,3713583.94,60,55.27
106,365274.13,3713601.63,60,66.12
107,365258.01,3713579.69,60,57.69
108,365246.77,3713587.01,60,35.30
109,365235.91,3713581.42,60,114.66
110,365243.27,3713591.32,60,26.93
111,365254.72,3713627.74,60,42.57
112,365244.88,3713614.11,60,51.95
113,365239.69,3713617.17,90,53.49
114,365246.71,3713631.70,60,95.40
115,365267.66,3713647.78,60,6.79
116,365261.67,3713614.55,60,231.33
