BldCode,CenterX,CenterY,Height,Area
1,360101.34,3715976.27,60,2309.38
2,360187.17,3715169.39,60,55.58
3,360170.53,3715144.74,60,59.66
4,360164.69,3715145.09,60,39.10
5,360137.07,3715171.67,60,52.67
6,360130.31,3715185.74,60,114.96
7,360145.48,3715185.33,60,111.18
8,360144.45,3715170.49,60,53.61
9,360151.68,3715169.96,60,51.38
10,360156.51,3715185.12,60,47.74
11,360159.61,3715170.36,60,69.37
12,360170.54,3715170.80,60,93.50
13,360173.57,3715184.06,60,87.79
14,360163.30,3715185.04,60,61.06
15,360178.75,3715171.51,60,20.89
16,360185.50,3715191.46,60,12.18
17,360183.37,3715182.23,60,37.51
18,360206.67,3715190.89,90,39.59
19,360195.96,3715187.90,60,108.67
20,360203.15,3715176.02,60,166.56
21,360231.51,3715164.43,60,25.80
22,360232.51,3715186.60,60,56.51
23,360485.01,3715369.04,60,95.73
24,360474.79,3715367.32,60,35.39
25,360499.12,3715348.01,60,78.55
26,360484.34,3715347.55,60,79.21
27,360463.36,3715343.54,60,182.08
28,360384.96,3715326.18,60,103.07
29,360398.63,3715328.41,60,93.87
30,360408.54,3715331.45,60,92.27
31,360418.85,3715333.32,60,73.60
32,360398.59,3715351.84,60,73.81
33,360402.45,3715343.68,60,13.42
34,360379.33,3715345.25,60,77.38
35,360389.26,3715349.80,60,62.23
36,360385.49,3715377.94,60,40.85
37,360407.05,3715395.42,60,65.21
38,360400.65,3715393.93,60,63.21
39,360418.70,3715398.39,60,60.41
40,360428.23,3715391.23,60,49.45
41,360426.05,3715401.93,60,49.62
42,360411.12,3715368.80,60,550.43
43,360433.01,3715359.44,60,134.51
44,360435.26,3715336.82,60,58.97
45,360442.77,3715338.81,60,57.10
46,360465.90,3715364.97,60,65.42
47,360454.06,3715363.41,60,96.95
48,360449.90,3715378.62,60,95.45
49,360447.78,3715396.91,60,126.70
50,360458.32,3715400.61,60,56.59
51,360460.13,3715379.72,60,87.47
52,360469.11,3715379.27,60,61.13
53,360469.33,3715402.19,60,135.67
54,360380.50,3715361.46,60,56.89
55,360373.84,3715357.79,60,62.85
56,360369.19,3715339.92,60,65.94
57,360364.78,3715350.58,60,74.10
58,360359.79,3715333.77,60,79.23
59,360370.15,3715317.67,60,188.38
60,360358.34,3715308.70,60,73.27
61,360085.30,3715693.10,60,119.80
62,360084.11,3715711.81,60,79.58
63,360080.10,3715724.59,60,85.83
64,360077.62,3715759.27,60,14.70
65,360059.04,3715735.88,60,82.69
66,360061.56,3715722.45,60,52.34
67,360052.26,3715698.12,60,106.17
68,360045.32,3715717.70,60,75.18
69,360031.36,3715716.41,60,66.17
70,360029.69,3715694.04,60,81.82
71,360039.82,3715694.96,60,62.99
72,360043.76,3715681.42,60,57.97
73,360055.30,3715682.81,60,92.92
74,360065.63,3715699.75,60,83.60
75,360067.47,3715686.43,60,99.71
76,360074.05,3715614.81,60,61.09
77,360033.52,3715679.09,60,76.30
78,360021.10,3715677.73,60,83.99
79,360018.29,3715691.43,60,99.78
80,360010.14,3715676.13,60,68.84
81,359984.52,3715602.82,60,87.77
82,359985.34,3715550.86,60,74.31
83,359937.09,3715592.68,60,64.27
84,359925.38,3715576.99,60,83.59
85,359925.13,3715541.08,60,69.51
86,359971.35,3715548.09,60,68.27
87,359982.25,3715526.44,60,69.37
88,359992.25,3715527.76,60,59.14
89,359995.98,3715515.76,60,62.10
90,359993.23,3715489.83,60,63.97
91,359982.22,3715489.24,60,72.99
92,359963.64,3715486.22,60,84.45
93,359984.64,3715475.89,60,92.13
94,360008.92,3715458.36,60,46.06
