BldCode,CenterX,CenterY,Height,Area
1,360842.69,3712694.99,60,109.30
2,360843.75,3712679.32,60,12.43
3,360864.43,3712687.84,210,707.73
4,360880.27,3712698.85,60,9.50
5,360852.45,3712690.55,60,22.22
6,360869.93,3712727.45,90,87.33
7,360886.77,3712730.88,90,276.74
8,360893.25,3712713.08,60,21.57
9,360898.57,3712723.84,60,49.59
10,360906.87,3712728.71,60,94.76
11,360913.73,3712731.84,120,98.46
12,360902.19,3712753.26,60,63.65
13,360913.27,3712756.19,60,78.09
14,360906.57,3712764.78,60,145.71
15,360932.74,3712764.04,60,59.64
16,360937.77,3712755.33,60,10.19
17,360942.17,3712764.70,150,101.33
18,360931.58,3712778.44,120,158.21
19,360940.79,3712801.26,120,115.92
20,360950.81,3712806.14,120,62.36
21,360943.50,3712782.33,60,69.05
22,360952.46,3712785.31,60,72.04
23,360961.26,3712788.20,60,88.28
24,360969.95,3712790.55,60,86.53
25,360979.06,3712793.15,60,79.09
26,360960.37,3712812.35,60,56.72
27,360968.01,3712815.78,60,68.62
28,360975.30,3712817.50,60,53.20
29,360982.90,3712818.00,60,76.82
30,360989.15,3712821.35,60,52.98
31,360979.21,3712833.88,60,297.16
32,361019.61,3712855.98,90,68.21
33,361021.82,3712873.04,60,124.91
34,361070.15,3712861.24,60,60.83
35,361063.35,3712848.51,90,49.05
36,361070.49,3712845.77,90,45.33
37,361053.91,3712842.55,60,59.12
38,361042.42,3712847.01,60,60.70
39,361056.15,3712851.60,90,43.53
40,361049.63,3712854.05,60,34.61
41,361043.14,3712855.96,90,50.91
42,361033.22,3712859.38,60,64.97
43,361028.64,3712851.81,60,43.64
44,361032.79,3712834.63,60,42.11
45,361023.85,3712837.95,60,52.78
46,361027.79,3712825.71,60,38.82
47,361045.14,3712826.09,90,94.52
48,361036.23,3712826.41,90,61.51
49,361054.00,3712825.31,60,62.72
50,361061.88,3712824.89,60,40.71
51,361070.83,3712835.67,60,53.70
52,361064.02,3712811.21,60,48.84
53,361069.21,3712793.23,60,74.34
54,361046.79,3712785.90,60,83.44
55,361057.20,3712789.96,60,72.79
56,361034.08,3712769.85,60,53.30
57,361029.41,3712783.20,60,7.55
58,361017.52,3712787.33,60,34.27
59,361025.80,3712782.28,60,7.58
60,361023.00,3712789.33,60,32.67
61,361028.02,3712791.24,60,19.52
62,361038.43,3712804.26,60,81.31
63,361019.55,3712803.98,60,78.83
64,361010.52,3712825.81,90,128.51
65,360998.65,3712823.07,60,116.48
66,360995.21,3712794.49,60,74.56
67,361002.71,3712798.66,90,81.55
68,361010.77,3712801.87,60,68.46
69,361008.57,3712785.64,60,69.70
70,361009.46,3712777.39,60,32.16
71,361006.60,3712759.12,60,113.41
