BldCode,CenterX,CenterY,Height,Area
1,362564.85,3715303.89,60,82.41
2,362557.22,3715301.50,60,43.71
3,362548.34,3715295.13,60,125.61
4,362522.99,3715286.44,60,49.50
5,362530.30,3715288.34,60,63.44
6,362535.89,3715284.60,60,3.49
7,362534.76,3715276.72,60,63.66
8,362547.44,3715282.16,60,67.57
9,362555.97,3715282.68,60,59.05
10,362573.04,3715288.34,90,61.74
11,362563.70,3715287.45,60,67.83
12,362568.15,3715275.08,60,91.23
13,362558.76,3715272.09,60,50.64
14,362550.78,3715270.14,60,58.16
15,362555.41,3715252.01,60,73.30
16,362563.82,3715255.42,60,51.25
17,362572.99,3715260.12,60,54.69
18,362569.58,3715242.68,60,18.21
19,362579.40,3715240.99,150,245.52
20,362590.56,3715264.74,60,93.39
21,362602.03,3715268.62,60,113.17
22,362577.31,3715276.41,60,43.20
23,362591.11,3715280.92,60,136.90
24,362580.09,3715290.72,90,73.13
25,362586.08,3715294.24,60,47.13
26,362592.52,3715297.29,60,43.23
27,362612.14,3715289.26,120,229.17
28,362611.30,3715298.55,90,98.83
29,362605.70,3715317.31,60,135.70
30,362594.94,3715314.23,60,46.10
31,362578.29,3715308.91,60,108.92
32,362631.16,3715327.50,60,114.22
33,362637.94,3715300.78,60,110.53
34,362637.10,3715314.92,90,91.08
35,362643.96,3715329.84,90,47.28
36,362652.48,3715317.18,60,102.48
37,362655.61,3715332.61,60,89.61
38,362662.07,3715319.48,60,34.14
39,362661.27,3715305.44,90,75.18
40,362649.00,3715302.83,120,158.10
41,362659.97,3715282.56,60,710.26
42,362664.93,3715271.11,60,16.29
43,362623.86,3715275.42,60,123.65
44,362613.43,3715272.35,90,81.19
45,362629.43,3715262.82,90,127.10
46,362616.67,3715223.64,300,838.92
47,362589.33,3715224.55,60,7.37
48,362583.36,3715221.54,60,79.71
49,362590.85,3715215.48,60,20.65
50,362591.44,3715205.85,60,82.52
51,362626.74,3715160.26,60,82.91
52,362641.73,3715162.99,60,46.58
53,362638.01,3715172.69,60,56.23
54,362684.04,3715206.85,60,252.91
55,362671.77,3715158.87,60,31.66
56,362673.39,3715155.11,90,58.15
57,362669.72,3715164.90,60,68.93
58,362663.97,3715181.86,60,206.60
59,362651.13,3715175.09,60,275.30
60,362656.30,3715159.21,60,93.75
61,362645.01,3715155.10,60,48.06
62,362643.53,3715149.88,60,3.32
63,362651.14,3715137.69,60,50.84
64,362647.87,3715146.29,60,51.13
65,362659.21,3715145.28,60,69.89
66,362667.07,3715125.74,60,116.55
67,362682.14,3715133.53,90,63.74
68,362676.32,3715146.67,60,87.48
69,362683.21,3715128.35,60,71.22
70,362683.65,3715122.18,90,112.48
71,362688.99,3715104.66,60,280.74
72,362675.29,3715100.22,60,67.51
73,362720.05,3715105.08,60,57.37
74,362709.99,3715127.34,90,87.50
75,362708.70,3715139.44,90,147.43
76,362706.02,3715152.88,90,185.57
77,362736.50,3715123.87,60,32.57
78,362695.69,3715169.03,60,139.84
79,362709.27,3715173.74,90,125.17
80,362696.12,3715189.87,90,531.60
81,362732.40,3715116.16,60,31.62
82,362729.05,3715109.27,90,30.09
83,362726.43,3715099.09,60,84.64
84,362704.11,3715070.27,60,4.39
85,362710.22,3715068.64,60,82.49
86,362724.09,3715022.03,60,138.92
87,362722.94,3715035.85,60,99.30
88,362712.27,3715031.86,60,133.97
89,362694.17,3715011.34,60,69.85
90,362702.26,3715024.34,90,149.08
91,362710.62,3715043.42,90,73.83
92,362712.83,3715016.98,60,46.94
93,362708.33,3715053.03,60,126.12
94,362697.56,3715068.66,60,104.86
95,362688.81,3715061.94,60,98.26
96,362683.42,3715043.29,60,648.02
97,362688.58,3715022.60,60,125.56
98,362686.11,3715009.18,60,39.63
99,362676.91,3715010.22,90,43.46
100,362666.97,3715036.26,60,82.10
101,362655.80,3715031.97,60,133.86
102,362651.36,3715016.29,60,10.78
103,362644.45,3715008.38,60,55.35
104,362638.91,3715004.83,90,27.79
105,362660.83,3715002.88,60,166.00
106,362635.21,3715002.99,60,65.18
107,362620.12,3714986.90,60,66.02
108,362591.73,3714981.05,60,132.38
109,362576.88,3714977.02,60,132.31
110,362576.41,3715006.68,90,74.28
111,362586.71,3714997.96,60,106.90
112,362603.17,3714984.06,60,74.35
113,362610.76,3714987.33,60,59.23
114,362600.92,3715003.32,60,130.34
115,362621.45,3714997.42,60,158.94
116,362619.82,3715017.55,60,53.60
117,362613.26,3715017.83,60,34.96
118,362608.60,3715013.83,60,50.17
119,362605.36,3715023.72,60,54.42
120,362602.79,3715031.51,60,63.04
121,362595.98,3715011.27,60,50.10
122,362587.41,3715022.03,60,53.38
123,362584.58,3715009.00,60,58.94
124,362572.52,3715017.08,90,79.69
125,362579.26,3715019.96,60,53.51
126,362589.91,3715049.49,60,51.64
127,362582.47,3715046.58,60,49.17
128,362576.49,3715060.21,60,88.03
129,362565.02,3715064.56,60,259.99
130,362612.60,3715059.63,60,68.07
131,362618.26,3715077.19,60,23.70
132,362610.17,3715068.65,60,48.35
133,362624.52,3715076.60,60,33.37
134,362631.47,3715079.36,60,59.53
135,362627.68,3715067.12,60,55.30
136,362620.82,3715061.62,60,18.27
137,362628.94,3715039.43,60,101.52
138,362624.05,3715056.58,60,94.93
139,362618.32,3715032.72,90,122.01
140,362624.93,3715020.66,60,34.19
141,362631.71,3715025.20,90,62.91
142,362636.19,3715027.37,60,54.52
143,362647.41,3715038.50,60,36.44
144,362636.04,3715070.08,60,66.93
145,362656.10,3715051.25,90,143.31
146,362681.05,3715085.83,60,64.11
147,362660.53,3715108.58,60,53.30
148,362659.82,3715093.77,60,64.79
149,362648.79,3715086.65,60,60.67
150,362640.47,3715084.86,60,28.33
151,362641.14,3715097.53,60,196.31
152,362633.79,3715109.58,120,171.86
153,362652.81,3715104.47,60,55.75
154,362657.64,3715121.15,60,80.46
155,362651.16,3715118.99,60,40.27
156,362644.47,3715115.63,60,89.56
157,362631.08,3715145.73,60,80.60
158,362635.79,3715134.39,60,76.16
159,362625.28,3715135.03,60,76.54
160,362612.96,3715106.10,60,47.86
161,362621.84,3715106.06,60,108.19
162,362627.61,3715093.75,60,68.32
163,362620.53,3715091.13,90,55.66
164,362613.11,3715087.49,90,44.68
165,362600.32,3715081.34,90,214.15
166,362605.70,3715099.54,60,92.29
167,362595.66,3715096.58,60,164.45
168,362577.23,3715087.82,60,46.10
169,362577.53,3715106.52,60,17.31
170,362590.40,3715130.89,60,3.51
171,362591.42,3715119.93,60,77.66
172,362577.13,3715116.63,60,82.81
173,362588.82,3715135.11,60,44.47
174,362606.95,3715127.24,60,197.57
175,362597.16,3715139.70,60,67.53
176,362630.99,3715153.41,60,12.19
177,362617.69,3715151.88,60,91.78
178,362605.25,3715169.56,60,104.52
179,362594.45,3715166.58,60,135.36
180,362572.14,3715157.17,120,818.02
181,362580.69,3715204.34,60,108.23
182,362565.57,3715215.82,60,77.43
183,362569.76,3715203.31,60,56.75
184,362560.81,3715201.46,60,55.72
185,362552.34,3715198.69,60,50.58
186,362536.72,3715159.24,60,84.04
187,362526.28,3715157.24,60,73.33
188,362514.78,3715156.22,60,85.21
189,362535.60,3715142.56,60,193.27
190,362539.66,3715123.90,60,201.55
191,362549.69,3715111.99,60,59.03
192,362570.88,3715103.72,60,46.69
193,362562.30,3715097.06,60,41.52
194,362571.35,3715086.88,60,41.01
195,362539.22,3715109.89,60,94.80
196,362532.15,3715081.63,60,60.26
197,362527.09,3715086.88,60,14.52
198,362530.00,3715097.42,60,109.87
199,362525.24,3715114.23,60,138.04
200,362519.64,3715133.05,60,136.89
201,362517.05,3715145.07,60,105.53
202,362501.64,3715128.04,60,63.33
203,362508.04,3715123.67,60,5.68
204,362491.77,3715119.71,60,39.47
205,362493.74,3715110.41,60,59.41
206,362504.84,3715116.92,60,82.54
207,362507.94,3715103.80,60,87.81
208,362496.14,3715101.59,60,68.72
209,362509.79,3715094.18,60,46.11
210,362502.16,3715075.01,60,63.96
211,362499.19,3715091.61,60,41.17
212,362484.33,3715085.06,60,74.74
213,362481.60,3715094.17,60,63.73
214,362479.97,3715101.19,60,42.45
215,362477.66,3715112.08,60,79.66
216,362466.38,3715092.59,120,142.67
217,362480.16,3715062.84,60,109.31
218,362483.42,3715045.71,60,85.99
219,362489.99,3715065.01,90,52.30
220,362486.22,3715074.78,60,61.30
221,362504.09,3715066.16,90,48.13
222,362500.50,3715040.38,60,123.63
223,362527.62,3715039.39,60,88.70
224,362528.89,3715056.53,60,4.47
225,362514.26,3715055.77,60,139.99
226,362528.76,3715072.84,60,13.85
227,362539.08,3715064.37,60,88.53
228,362542.38,3715050.45,60,87.25
229,362566.59,3715082.10,60,48.50
230,362545.97,3715039.53,60,112.69
231,362564.18,3715015.64,60,38.94
232,362553.55,3715010.92,60,29.32
233,362541.07,3715024.23,60,165.57
234,362534.18,3715041.54,60,107.10
235,362514.50,3715016.48,60,117.61
236,362528.08,3714998.59,90,61.45
237,362536.90,3715000.56,60,78.47
238,362530.40,3714986.65,60,62.96
239,362542.96,3714987.21,60,157.20
240,362546.75,3715003.30,60,100.90
241,362555.41,3715003.07,90,31.69
242,362568.26,3715003.28,60,48.12
243,362560.71,3714973.08,60,131.71
244,362546.34,3714969.59,60,174.08
245,362511.95,3714958.98,60,81.22
246,362510.56,3714970.76,60,64.25
247,362522.26,3714964.10,60,91.33
248,362517.45,3714980.96,60,38.44
249,362519.01,3714974.63,60,40.99
250,362515.97,3714993.06,60,67.63
251,362507.44,3714987.36,60,82.64
252,362500.26,3714959.42,60,84.63
253,362486.84,3714955.91,60,163.69
254,362470.25,3714947.98,60,41.90
255,362449.31,3714964.26,60,52.62
256,362458.83,3714959.65,60,55.30
257,362474.24,3714962.01,60,47.60
258,362473.56,3714976.28,60,66.69
259,362452.62,3714991.65,60,38.61
260,362453.50,3715004.30,60,5.66
261,362463.94,3715000.69,60,199.45
262,362496.44,3714979.66,60,219.77
263,362502.21,3715006.93,60,44.07
264,362452.89,3715013.51,60,66.02
265,362461.50,3715017.69,60,82.93
266,362453.73,3715042.85,60,57.06
267,362476.11,3715045.31,60,19.95
268,362465.71,3715066.26,60,154.20
269,362434.41,3715053.40,60,97.90
270,362430.01,3715034.03,60,121.10
271,362436.95,3715041.21,60,5.70
272,362422.91,3715019.34,60,68.86
273,362419.31,3715031.07,60,41.84
274,362410.51,3715014.53,60,51.00
275,362407.14,3715023.28,60,59.70
276,362397.82,3715016.98,60,69.22
277,362401.67,3715007.90,60,72.59
278,362406.71,3714999.64,60,64.34
279,362413.89,3715006.21,60,53.64
280,362411.12,3714984.73,60,152.64
281,362434.95,3714990.34,60,146.15
282,362418.00,3714994.45,60,83.91
283,362428.56,3715005.33,90,34.43
284,362439.06,3715006.58,90,131.78
285,362438.29,3714990.42,60,8.61
286,362422.49,3714981.51,60,81.07
287,362434.37,3714963.31,60,6.71
288,362444.58,3714952.60,60,62.69
289,362430.55,3714951.37,150,188.20
290,362399.85,3714972.24,60,67.91
291,362393.24,3714978.28,60,56.52
292,362387.32,3714983.95,60,67.47
293,362391.24,3714996.40,60,49.19
294,362384.36,3714994.28,60,36.83
295,362372.27,3714991.33,60,22.14
296,362169.09,3715191.82,90,89.31
297,362186.17,3715193.13,60,59.36
298,362195.19,3715193.56,90,104.25
299,362199.11,3715172.69,60,120.37
300,362188.03,3715157.35,60,211.94
301,362201.04,3715157.96,60,80.07
302,362223.96,3715157.67,60,50.96
303,362237.65,3715145.13,60,82.65
304,362239.85,3715131.06,60,67.95
305,362260.12,3715147.69,60,123.07
306,362255.44,3715169.02,60,57.77
307,362246.53,3715166.79,60,87.18
308,362247.75,3715181.88,60,38.72
309,362242.25,3715180.37,60,51.61
310,362231.92,3715177.00,60,76.58
311,362232.92,3715164.82,60,58.20
312,362238.61,3715158.89,60,4.12
313,362222.39,3715173.92,60,63.54
314,362222.03,3715165.41,60,49.01
315,362218.31,3715193.12,90,62.90
316,362221.02,3715179.63,90,60.64
317,362227.29,3715198.66,60,89.34
318,362238.59,3715192.01,60,5.75
319,362225.08,3715212.18,90,47.30
320,362221.28,3715202.01,60,26.55
321,362215.74,3715211.71,90,90.73
322,362233.40,3715233.00,60,86.18
323,362236.80,3715213.83,60,85.06
324,362239.54,3715200.31,60,87.94
325,362245.67,3715215.10,60,63.98
326,362253.80,3715218.06,60,70.81
327,362259.82,3715223.51,60,12.11
328,362265.49,3715204.99,90,87.77
329,362259.45,3715196.42,60,4.10
330,362255.17,3715202.02,60,78.11
331,362248.47,3715199.20,60,46.18
332,362253.31,3715183.77,60,37.68
333,362259.97,3715184.25,60,54.28
334,362262.09,3715170.75,60,50.81
335,362275.86,3715174.41,60,101.50
336,362287.47,3715191.26,60,132.69
337,362270.71,3715186.79,60,125.90
338,362275.47,3715207.25,60,89.34
339,362267.85,3715221.06,60,92.19
340,362274.41,3715225.68,60,4.38
341,362285.50,3715209.81,60,90.54
342,362298.96,3715227.31,60,66.22
343,362309.38,3715212.05,60,213.95
344,362330.60,3715217.21,60,75.80
345,362322.75,3715215.57,60,66.40
346,362326.44,3715207.34,60,5.10
347,362308.09,3715193.21,60,26.27
348,362308.92,3715189.32,90,23.18
349,362310.86,3715181.46,60,27.68
350,362324.62,3715190.32,60,79.82
351,362315.27,3715172.82,60,120.21
352,362324.98,3715175.36,60,54.65
353,362323.93,3715151.64,60,144.80
354,362302.05,3715160.57,60,28.65
355,362295.21,3715180.03,60,36.37
356,362286.04,3715178.11,60,45.97
357,362296.84,3715159.61,60,38.53
358,362283.17,3715151.72,60,58.19
359,362289.72,3715157.25,60,61.38
360,362298.35,3715144.44,60,272.13
361,362285.49,3715140.03,60,61.90
362,362303.41,3715152.82,60,11.52
363,362328.33,3715115.19,60,7.37
364,362326.68,3715107.73,90,65.58
365,362276.37,3715138.02,60,72.34
366,362276.03,3715130.79,60,24.84
367,362275.96,3715150.70,60,52.92
368,362269.95,3715147.64,60,45.10
369,362269.61,3715155.65,60,6.14
370,362264.99,3715137.17,60,50.93
371,362253.80,3715132.33,60,89.32
372,362365.13,3715000.82,60,20.50
373,362367.44,3715009.61,60,50.06
374,362379.16,3714990.45,60,46.08
375,362371.60,3715020.92,90,60.42
376,362362.95,3715023.53,90,115.48
377,362359.38,3715034.03,60,111.22
378,362359.27,3715045.35,90,69.41
379,362350.69,3715042.60,60,57.84
380,362348.57,3715052.37,60,59.49
381,362340.40,3715055.31,60,49.49
382,362333.82,3715061.74,60,5.64
383,362334.48,3715072.23,60,135.05
384,362348.87,3715074.28,60,132.06
385,362350.10,3715064.91,60,65.66
386,362347.43,3715060.56,60,8.10
387,362356.58,3715056.16,60,58.02
388,362372.02,3715066.88,60,94.88
389,362363.78,3715084.99,90,67.20
