BldCode,CenterX,CenterY,Height,Area
1,362214.87,3715692.09,60,49.47
2,362226.96,3715687.91,60,46.34
3,362224.45,3715694.89,60,29.28
4,362305.02,3715710.55,60,73.36
5,362331.56,3715717.96,60,82.45
6,362324.83,3715715.78,60,15.35
7,362317.01,3715710.85,60,78.35
8,362324.98,3715698.50,60,23.91
9,362327.52,3715688.91,60,51.01
10,362312.65,3715692.14,60,141.61
11,362306.31,3715700.08,60,20.33
12,362285.47,3715674.95,60,12.61
13,362278.93,3715682.70,60,88.62
14,362288.49,3715695.76,60,16.39
15,362291.18,3715683.12,60,90.40
16,362283.96,3715704.71,60,75.07
17,362273.03,3715701.76,60,79.31
18,362259.62,3715700.21,60,156.30
19,362250.81,3715677.45,60,83.90
20,362245.92,3715689.83,60,107.95
21,362228.68,3715680.13,60,38.48
22,362230.65,3715672.62,60,42.91
23,362218.83,3715674.41,60,145.35
24,362232.67,3715664.66,60,43.24
25,362241.17,3715646.34,60,117.72
26,362265.80,3715652.24,60,133.49
27,362272.43,3715637.43,60,51.73
28,362264.66,3715635.48,60,52.08
29,362253.27,3715649.21,60,147.61
30,362252.92,3715632.80,60,112.71
31,362273.03,3715627.93,60,47.68
32,362268.61,3715607.43,60,67.15
33,362288.56,3715603.48,60,79.04
34,362285.96,3715613.03,60,64.50
35,362293.45,3715637.80,60,52.74
36,362285.10,3715635.96,60,173.79
37,362277.33,3715651.85,60,109.64
38,362285.13,3715655.47,60,63.24
39,362293.92,3715662.04,60,78.76
40,362295.58,3715653.43,60,81.56
41,362315.01,3715655.71,60,10.22
42,362317.25,3715665.96,60,135.80
43,362329.83,3715649.66,90,304.56
44,362303.21,3715615.87,60,116.63
45,362293.29,3715615.05,60,22.96
46,362303.52,3715599.49,60,171.45
47,362279.56,3715600.27,60,26.56
48,362288.34,3715586.98,60,22.62
49,362301.43,3715586.94,60,48.26
50,362312.78,3715573.79,60,41.79
51,362312.62,3715588.77,60,57.66
52,362318.43,3715549.78,90,208.43
53,362355.88,3715548.08,60,14.08
54,362353.62,3715559.15,60,105.85
55,362360.65,3715562.31,60,20.97
56,362350.40,3715570.09,60,44.85
57,362342.09,3715553.66,60,209.25
58,362347.80,3715579.17,60,54.98
59,362340.11,3715573.05,60,130.02
60,362356.79,3715581.14,60,46.30
61,362358.64,3715571.78,60,40.99
62,362367.96,3715583.26,60,101.58
63,362379.64,3715584.61,90,109.21
64,362389.97,3715589.81,60,54.32
65,362370.14,3715608.66,60,99.03
66,362373.45,3715599.21,60,4.77
67,362375.96,3715612.04,60,3.36
68,362360.06,3715627.57,60,128.30
69,362362.51,3715605.80,60,106.82
70,362349.09,3715628.87,60,20.86
71,362355.44,3715646.99,60,94.07
72,362355.05,3715657.06,60,137.18
73,362379.18,3715650.89,60,18.68
74,362370.31,3715654.70,60,127.40
75,362388.43,3715659.93,60,67.16
76,362385.61,3715629.23,60,106.71
77,362382.44,3715615.11,60,61.45
78,362391.26,3715617.13,60,63.02
79,362393.58,3715607.19,60,59.28
80,362407.51,3715610.43,60,59.81
81,362405.20,3715620.24,60,65.05
82,362407.79,3715628.10,60,11.73
83,362415.78,3715637.74,60,63.97
84,362410.26,3715637.69,60,43.64
85,362405.51,3715636.59,60,37.58
86,362397.23,3715635.12,60,104.72
87,362415.80,3715663.19,60,14.29
88,362423.03,3715661.40,60,24.05
89,362429.19,3715661.83,60,28.96
90,362442.18,3715661.86,90,71.56
91,362451.14,3715663.27,60,43.34
92,362439.74,3715671.93,90,64.13
93,362437.96,3715681.87,60,76.26
94,362420.27,3715685.19,60,46.87
95,362424.22,3715675.62,60,29.64
96,362415.30,3715673.10,60,69.95
97,362403.12,3715671.53,60,60.54
98,362409.84,3715678.86,60,5.34
99,362410.70,3715685.53,60,54.31
100,362399.85,3715685.39,60,73.69
101,362406.81,3715701.88,60,71.31
102,362418.26,3715699.54,60,34.05
103,362416.54,3715707.53,60,35.58
104,362402.92,3715719.48,60,51.70
105,362403.12,3715730.83,60,30.13
106,362390.28,3715731.65,60,74.43
107,362398.04,3715730.96,60,31.96
108,362392.18,3715721.30,60,66.25
109,362394.38,3715710.25,60,64.55
110,362393.58,3715703.40,60,12.69
111,362377.44,3715709.78,60,74.79
112,362378.28,3715699.53,60,77.73
113,362385.55,3715672.48,60,42.32
114,362382.61,3715682.90,60,42.28
115,362379.50,3715661.40,60,95.53
116,362373.70,3715679.70,60,71.41
117,362368.98,3715695.49,60,19.55
118,362361.01,3715693.46,60,29.13
119,362367.21,3715706.48,60,70.74
120,362358.55,3715703.33,60,74.84
121,362350.29,3715718.00,60,153.53
122,362364.71,3715723.43,60,124.28
123,362376.65,3715719.41,60,47.58
124,362374.83,3715727.72,60,61.17
125,362421.30,3715737.42,60,116.21
126,362411.03,3715731.60,90,64.04
127,362413.66,3715721.71,60,55.54
128,362424.07,3715723.02,60,81.01
129,362433.01,3715710.98,60,53.82
130,362431.12,3715740.90,90,60.47
131,362434.73,3715732.06,60,46.60
132,362438.35,3715724.93,60,50.08
133,362442.75,3715713.10,60,49.49
134,362437.41,3715690.68,60,47.42
135,362449.91,3715693.04,60,49.82
136,362450.18,3715684.80,90,95.12
137,362452.84,3715674.66,60,131.95
138,362472.17,3715696.19,60,28.81
139,362511.64,3715658.63,60,3020.28
140,362461.03,3715666.85,90,51.82
141,362463.19,3715660.62,90,64.08
142,362521.55,3715600.05,60,67.48
143,362521.89,3715611.60,60,84.67
144,362523.37,3715620.68,60,45.78
145,362533.38,3715625.00,60,48.97
146,362546.88,3715629.50,60,93.40
147,362569.60,3715623.69,60,56.89
148,362566.60,3715635.92,60,55.44
149,362558.70,3715632.53,60,60.57
150,362557.59,3715620.36,60,90.76
151,362572.52,3715612.00,60,67.52
152,362564.49,3715607.68,60,55.06
153,362556.18,3715606.05,60,50.96
154,362547.73,3715604.08,60,59.19
155,362574.17,3715515.58,60,49.94
156,362570.40,3715524.66,60,49.32
157,362560.75,3715520.26,60,114.58
158,362542.28,3715546.01,60,36.69
159,362535.65,3715571.88,60,918.89
160,362502.31,3715552.76,90,297.30
161,362487.26,3715542.70,60,75.06
162,362470.76,3715540.11,60,63.82
163,362482.22,3715555.61,60,56.24
164,362468.00,3715561.39,60,80.73
165,362473.95,3715613.33,60,1672.50
166,362484.03,3715568.48,60,3.06
167,362498.23,3715584.70,60,11.85
168,362463.74,3715644.69,60,9.81
169,362450.62,3715640.42,60,47.67
170,362410.78,3715591.64,60,183.83
171,362446.55,3715570.76,60,60.33
172,362438.07,3715553.10,60,57.26
173,362441.13,3715543.59,60,47.12
174,362450.31,3715555.34,90,133.83
175,362443.60,3715532.30,60,152.32
176,362434.14,3715521.63,60,6.03
177,362428.16,3715527.95,60,115.32
178,362429.87,3715551.43,60,63.55
179,362421.90,3715539.23,60,55.25
180,362396.55,3715532.02,120,1134.76
181,362418.31,3715549.18,60,50.64
182,362395.46,3715580.83,60,118.98
183,362371.37,3715561.94,60,173.63
184,362365.35,3715537.81,60,34.12
185,362354.93,3715513.69,120,248.41
186,362389.18,3715469.53,60,26.98
187,362410.36,3715491.18,60,116.09
188,362429.29,3715496.80,60,17.27
189,362450.18,3715482.23,90,112.42
190,362438.04,3715486.83,90,39.72
191,362434.21,3715479.14,60,91.30
192,362443.20,3715478.79,60,32.22
193,362446.95,3715457.70,60,90.25
