BldCode,CenterX,CenterY,Height,Area
1,367815.61,3713306.09,60,34.57
2,367811.28,3713320.58,60,102.52
3,367836.43,3713294.73,60,266.24
4,367831.59,3713311.34,60,127.85
5,367808.20,3713344.16,60,173.98
6,367953.41,3713488.06,60,12.35
7,367968.01,3713359.54,60,148.48
8,367986.46,3713334.94,60,39.60
9,367984.97,3713349.22,60,71.41
10,367984.86,3713359.14,60,50.23
11,368011.17,3713363.81,60,100.37
12,368027.95,3713369.97,60,161.03
13,368027.42,3713339.20,60,66.59
14,368012.22,3713351.66,60,58.66
15,368002.62,3713334.56,60,136.40
16,367998.19,3713331.63,60,6.35
17,368069.55,3713344.63,60,18.99
18,368062.54,3713349.35,60,69.07
19,368065.93,3713369.80,60,58.98
20,368054.92,3713368.64,60,91.24
21,368077.05,3713371.73,60,127.22
22,367930.36,3713291.36,60,96.86
23,367920.70,3713301.78,60,57.77
24,367930.31,3713308.99,60,96.16
25,367932.54,3713325.53,60,39.39
26,367943.56,3713317.28,60,45.36
27,367950.96,3713297.80,60,42.77
28,367966.75,3713324.09,60,126.53
29,367939.87,3713339.87,60,262.58
30,367925.27,3713342.00,60,122.74
31,367921.63,3713334.81,60,36.70
32,367911.53,3713329.04,60,63.29
33,367916.78,3713319.82,60,179.90
34,367917.96,3713294.20,60,59.08
35,367906.27,3713296.28,60,37.19
36,367897.82,3713290.27,60,58.45
37,367903.59,3713278.73,60,95.93
38,367912.26,3713285.03,60,81.49
39,367897.07,3713274.14,60,25.36
40,367886.83,3713281.33,60,168.71
41,367864.97,3713292.39,60,53.43
42,367854.41,3713299.24,60,15.16
43,367849.71,3713304.73,60,61.47
44,367853.17,3713291.27,60,79.66
45,367840.41,3713268.46,90,222.54
