498658.733310,4230037.037090,498614.551000,4229980.617000,-0.734,-0.937,219,130,158,132,0
498380.045285,4230194.846104,498414.410000,4230266.366000,0.519,1.081,134,63,163,364,0
498431.140729,4230034.856099,498383.709000,4229946.485000,-0.559,-1.042,257,156,201,414,0
498532.501951,4230015.743570,498546.715000,4230009.367000,1.086,-0.487,190,115,172,469,0
498583.307975,4230311.930626,498566.459000,4230281.095000,-0.571,-1.044,196,118,198,279,0
498606.508434,4229970.270598,498591.612000,4229951.107000,-0.731,-0.941,220,215,130,968,0
498635.036169,4230216.235133,498634.286000,4230213.622000,-0.329,-1.146,202,155,122,459,0
498581.975526,4230078.815025,498572.990000,4230085.145000,-0.974,0.686,275,170,235,191,0
498295.588772,4230389.237809,498280.942000,4230368.029000,-0.676,-0.979,53,68,18,558,0
498458.396177,4230466.348577,498354.309000,4230436.474000,-1.152,-0.331,279,173,207,584,0
498546.715000,4230009.367000,498614.551000,4229980.617000,1.096,-0.464,188,130,115,493,0
498525.898622,4229836.412161,498513.941000,4229812.425000,-0.525,-1.054,208,171,124,525,0
498286.517775,4230149.034659,498364.061000,4230180.385000,1.100,0.445,223,135,154,357,0
498444.915890,4229837.171272,498436.211000,4229840.179000,-0.852,0.294,236,142,184,401,0
498388.978972,4229943.722774,498429.662000,4229922.399000,1.054,-0.552,246,150,156,493,0
498564.317987,4230089.072670,498481.085000,4230126.770000,-1.084,0.491,211,125,170,580,0
498458.178824,4229802.177216,498498.616000,4229781.915000,1.062,-0.532,292,204,195,276,0
498408.153724,4230362.633225,498452.692000,4230420.699000,0.728,0.949,155,133,82,364,0
498460.104243,4229831.923367,498489.869000,4229821.639000,0.852,-0.294,236,184,142,1242,0
498405.537503,4229827.385774,498337.734000,4229856.842000,-1.100,0.478,261,160,195,251,0
498660.344729,4230171.361511,498625.529000,4230188.658000,-1.070,0.532,258,190,157,250,0
498553.339539,4230250.115731,498634.286000,4230213.622000,1.085,-0.489,253,155,174,393,0
498239.545229,4229736.602988,498225.039000,4229706.076000,-0.514,-1.081,299,209,214,237,0
498767.336056,4230276.541635,498769.975000,4230281.061000,0.600,1.028,280,188,175,269,0
498503.143886,4230028.395183,498528.159000,4230017.692000,1.097,-0.469,278,172,201,287,0
498542.232935,4230227.935098,498539.139000,4230229.394000,-1.080,0.509,184,113,190,192,0
498593.744182,4230118.087955,498591.641000,4230119.316000,-0.943,0.551,69,62,25,356,0
498620.599790,4230378.431706,498647.452000,4230426.212000,0.583,1.037,294,234,198,349,0
498238.341000,4230492.864000,498238.341000,4230492.864000,0.000,0.000,-1,149,149,561,1
498448.922658,4230144.463150,498470.154000,4230183.138000,0.573,1.043,229,185,138,935,0
498686.360935,4230342.996456,498698.912000,4230368.950000,0.520,1.075,232,140,202,693,0
498141.720401,4230359.271312,498143.077000,4230361.624000,0.591,1.025,45,22,15,797,0
498557.061183,4230042.540196,498563.182000,4230061.957000,0.300,0.953,225,213,136,500,0
498479.376098,4230123.635586,498441.768000,4230054.656000,-0.570,-1.045,212,201,125,631,0
498079.448989,4230288.528941,498089.483000,4230259.890000,0.391,-1.115,32,11,131,379,0
498722.511320,4230255.172118,498747.035000,4230239.456000,0.999,-0.640,192,191,117,352,0
498684.184825,4230221.486937,498709.828000,4230209.948000,1.082,-0.487,204,240,122,201,0
498496.449552,4230312.730441,498483.303000,4230287.656000,-0.553,-1.054,191,220,116,661,0
498415.731653,4230006.147110,498441.768000,4230054.656000,0.563,1.050,257,201,156,620,0
498149.115959,4229576.455772,498225.039000,4229706.076000,0.602,1.028,300,209,219,195,0
498349.004518,4230286.283901,498414.410000,4230266.366000,1.142,-0.348,128,63,61,513,0
498644.685456,4230248.083430,498641.994000,4230240.472000,-0.394,-1.114,203,122,193,128,0
498530.870035,4230293.298726,498543.532000,4230316.272000,0.579,1.050,200,121,159,611,0
498525.527356,4230205.543642,498523.816000,4230202.545000,-0.595,-1.042,185,192,113,443,0
498378.011825,4229935.376531,498383.709000,4229946.485000,0.541,1.055,256,156,160,523,0
498286.475486,4229835.777431,498267.690000,4229795.831000,-0.504,-1.072,301,214,218,361,0
498566.754414,4229913.373027,498564.205000,4229909.503000,-0.650,-0.987,241,145,215,246,0
498549.181431,4230017.323483,498553.284000,4230030.558000,0.352,1.137,189,136,115,272,0
498299.437688,4230204.748061,498221.828000,4230234.007000,-1.109,0.418,145,70,135,413,0
498761.671625,4230358.722860,498795.192000,4230330.988000,0.918,-0.760,270,166,206,91,0
497912.873303,4230204.928071,497874.991000,4230132.454000,-0.547,-1.047,21,8,19,366,0
498783.371617,4230307.584889,498795.192000,4230330.988000,0.539,1.067,269,166,188,582,0
498530.883912,4230293.323905,498521.641000,4230276.554000,-0.571,-1.036,200,159,121,487,0
498403.777057,4229935.966444,498429.662000,4229922.399000,1.054,-0.553,246,150,156,572,0
498681.204177,4230222.828172,498709.828000,4230209.948000,1.092,-0.492,204,240,122,410,0
498561.716029,4230272.546414,498566.459000,4230281.095000,0.576,1.038,195,118,174,769,0
498584.565914,4230169.584072,498612.393000,4230154.486000,1.041,-0.565,272,167,192,704,0
498499.562542,4230118.401275,498572.990000,4230085.145000,1.090,-0.493,211,170,125,466,0
498501.631923,4230172.390091,498505.165000,4230170.150000,1.010,-0.640,72,51,78,455,0
498420.424354,4229927.240859,498429.662000,4229922.399000,1.050,-0.550,246,150,156,60,0
498238.341000,4230492.864000,498238.341000,4230492.864000,0.000,0.000,-1,149,149,973,1
498707.657611,4230210.924633,498641.994000,4230240.472000,-1.085,0.488,204,122,240,519,0
