id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
19199,361318.37,3714078.12,1701,1288,361462.89,3713979.11,726
19200,361434.78,3714119.03,1145,280,361462.89,3713979.11,726
19201,361434.78,3714119.03,1145,1325,361462.89,3713979.11,726
19202,361292.8,3714073.48,4081,1005,361462.89,3713979.11,726
19203,361424.78,3714150.94,1146,490,361493.99,3714247.56,2960
19204,361424.78,3714150.94,1146,791,361493.99,3714247.56,2960
19205,361322.84,3714061.26,1137,1473,361462.89,3713979.11,726
19206,361392.93,3714076.5,3060,89,361462.89,3713979.11,726
19207,361292.8,3714073.48,4081,769,361462.89,3713979.11,726
19208,361381.42,3714099.9,1147,369,361462.89,3713979.11,726
19209,361434.78,3714119.03,1145,1663,361445.237578,3714064.876792,1142
19210,361311.39,3714109.5,2993,647,361493.99,3714247.56,2960
19211,361504.42,3714173.52,2991,879,361493.99,3714247.56,2960
19212,361520.69,3714093.08,4037,862,361462.89,3713979.11,726
19213,361504.42,3714173.52,2991,746,361493.99,3714247.56,2960
19214,361424.78,3714150.94,1146,2385,361424.78,3714150.94,1146
19215,361311.39,3714109.5,2993,1268,361493.99,3714247.56,2960
19216,361521.38,3714123.82,2990,457,361462.89,3713979.11,726
19217,361434.78,3714119.03,1145,633,361462.89,3713979.11,726
19218,361434.78,3714119.03,1145,442,361462.89,3713979.11,726
19219,361442.23,3714081.26,1142,356,361462.89,3713979.11,726
19220,361434.78,3714119.03,1145,713,361493.99,3714247.56,2960
19221,361265.55,3714096.51,1704,814,361493.99,3714247.56,2960
19222,361292.8,3714073.48,4081,840,361462.89,3713979.11,726
19223,361424.78,3714150.94,1146,1199,361493.99,3714247.56,2960
19224,361292.8,3714073.48,4081,1667,361383.96478,3714136.023493,2993
19225,361434.78,3714119.03,1145,903,361462.89,3713979.11,726
19226,361346.66,3714165.87,4274,650,361493.99,3714247.56,2960
19227,361381.42,3714099.9,1147,998,361462.89,3713979.11,726
19228,361504.42,3714173.52,2991,661,361462.89,3713979.11,726
19229,361381.42,3714099.9,1147,626,361462.89,3713979.11,726
19230,361381.42,3714099.9,1147,253,361462.89,3713979.11,726
19231,361299.78,3714053.95,3062,1679,361422.618722,3714030.354888,1135
19232,361392.93,3714076.5,3060,1125,361462.89,3713979.11,726
19233,361381.42,3714099.9,1147,1395,361462.89,3713979.11,726
19234,361346.66,3714165.87,4274,1008,361493.99,3714247.56,2960
19235,361392.93,3714076.5,3060,379,361462.89,3713979.11,726
19236,361311.39,3714109.5,2993,792,361493.99,3714247.56,2960
19237,361512.99,3714140.43,1144,909,361462.89,3713979.11,726
19238,361318.37,3714078.12,1701,331,361462.89,3713979.11,726
19239,361318.37,3714078.12,1701,393,361462.89,3713979.11,726
19240,361504.42,3714173.52,2991,1638,361449.965992,3714039.119656,1142
19241,361392.93,3714076.5,3060,1337,361462.89,3713979.11,726
19242,361392.93,3714076.5,3060,887,361462.89,3713979.11,726
19243,361299.78,3714053.95,3062,361,361462.89,3713979.11,726
19244,361392.93,3714076.5,3060,824,361462.89,3713979.11,726
19245,361520.69,3714093.08,4037,385,361462.89,3713979.11,726
19246,361504.42,3714173.52,2991,254,361493.99,3714247.56,2960
19247,361442.23,3714081.26,1142,226,361462.89,3713979.11,726
19248,361512.99,3714140.43,1144,1059,361493.99,3714247.56,2960
19249,361392.93,3714076.5,3060,548,361462.89,3713979.11,726
19250,361504.42,3714173.52,2991,989,361462.89,3713979.11,726
19251,361520.69,3714093.08,4037,1035,361462.89,3713979.11,726
19252,361311.39,3714109.5,2993,1781,361332.616948,3714117.257692,2993
19253,361504.42,3714173.52,2991,1229,361462.89,3713979.11,726
19254,361520.69,3714093.08,4037,202,361462.89,3713979.11,726
19255,361311.39,3714109.5,2993,593,361493.99,3714247.56,2960
19256,361392.93,3714076.5,3060,983,361462.89,3713979.11,726
19257,361442.23,3714081.26,1142,439,361462.89,3713979.11,726
19258,361322.84,3714061.26,1137,845,361462.89,3713979.11,726
19259,361392.93,3714076.5,3060,925,361462.89,3713979.11,726
19260,361392.93,3714076.5,3060,1352,361462.89,3713979.11,726
19261,361521.38,3714123.82,2990,923,361462.89,3713979.11,726
19262,361346.66,3714165.87,4274,1145,361493.99,3714247.56,2960
19263,361521.38,3714123.82,2990,886,361462.89,3713979.11,726
19264,361442.23,3714081.26,1142,1482,361462.89,3713979.11,726
19265,361521.38,3714123.82,2990,1353,361462.89,3713979.11,726
19266,361381.42,3714099.9,1147,1503,361462.89,3713979.11,726
19267,361299.78,3714053.95,3062,903,361462.89,3713979.11,726
19268,361512.99,3714140.43,1144,1825,361512.99,3714140.43,1144
19269,361322.84,3714061.26,1137,670,361462.89,3713979.11,726
19270,361322.84,3714061.26,1137,732,361462.89,3713979.11,726
19271,361318.37,3714078.12,1701,1080,361462.89,3713979.11,726
19272,361381.42,3714099.9,1147,776,361462.89,3713979.11,726
19273,361504.42,3714173.52,2991,717,361493.99,3714247.56,2960
19274,361381.42,3714099.9,1147,903,361462.89,3713979.11,726
19275,361311.39,3714109.5,2993,1391,361489.964983,3714245.758251,1545
19276,361442.23,3714081.26,1142,147,361462.89,3713979.11,726
19277,361442.23,3714081.26,1142,897,361462.89,3713979.11,726
19278,361299.78,3714053.95,3062,899,361462.89,3713979.11,726
19279,361381.42,3714099.9,1147,1551,361462.89,3713979.11,726
19280,361392.93,3714076.5,3060,89,361462.89,3713979.11,726
19281,361381.42,3714099.9,1147,921,361462.89,3713979.11,726
19282,361381.42,3714099.9,1147,1451,361462.89,3713979.11,726
19283,361442.23,3714081.26,1142,384,361462.89,3713979.11,726
19284,361442.23,3714081.26,1142,586,361462.89,3713979.11,726
19285,361311.39,3714109.5,2993,98,361493.99,3714247.56,2960
19286,361442.23,3714081.26,1142,609,361462.89,3713979.11,726
19287,361392.93,3714076.5,3060,1498,361462.89,3713979.11,726
19288,361265.55,3714096.51,1704,1371,361462.89,3713979.11,726
19289,361299.78,3714053.95,3062,1031,361462.89,3713979.11,726
19290,361265.55,3714096.51,1704,1015,361493.99,3714247.56,2960
19291,361346.66,3714165.87,4274,792,361493.99,3714247.56,2960
19292,361442.23,3714081.26,1142,320,361462.89,3713979.11,726
19293,361442.23,3714081.26,1142,1097,361462.89,3713979.11,726
19294,361265.55,3714096.51,1704,1346,360920.288125,3714025.135759,1693
19295,361299.78,3714053.95,3062,1042,361462.89,3713979.11,726
19296,361346.66,3714165.87,4274,1980,361346.66,3714165.87,4274
19297,361442.23,3714081.26,1142,170,361462.89,3713979.11,726
19298,361442.23,3714081.26,1142,1204,361462.89,3713979.11,726
19299,361311.39,3714109.5,2993,596,361493.99,3714247.56,2960
19300,361442.23,3714081.26,1142,770,361462.89,3713979.11,726
19301,361311.39,3714109.5,2993,1500,361462.89,3713979.11,726
19302,361442.23,3714081.26,1142,410,361462.89,3713979.11,726
19303,361299.78,3714053.95,3062,1407,361462.89,3713979.11,726
19304,361442.23,3714081.26,1142,1024,361462.89,3713979.11,726
19305,361392.93,3714076.5,3060,788,361462.89,3713979.11,726
19306,361381.42,3714099.9,1147,1689,361352.608955,3714024.674088,1135
19307,361299.78,3714053.95,3062,588,361462.89,3713979.11,726
19308,361381.42,3714099.9,1147,326,361462.89,3713979.11,726
19309,361346.66,3714165.87,4274,801,361493.99,3714247.56,2960
19310,361442.23,3714081.26,1142,900,361462.89,3713979.11,726
19311,361442.23,3714081.26,1142,845,361462.89,3713979.11,726
19312,361442.23,3714081.26,1142,546,361462.89,3713979.11,726
19313,361381.42,3714099.9,1147,471,361462.89,3713979.11,726
19314,361442.23,3714081.26,1142,1739,361513.991724,3714092.070905,1142
19315,361299.78,3714053.95,3062,1283,361462.89,3713979.11,726
19316,361346.66,3714165.87,4274,822,361493.99,3714247.56,2960
19317,361381.42,3714099.9,1147,849,361462.89,3713979.11,726
19318,361392.93,3714076.5,3060,928,361462.89,3713979.11,726
19319,361299.78,3714053.95,3062,784,361462.89,3713979.11,726
19320,361265.55,3714096.51,1704,596,361462.89,3713979.11,726
19321,361299.78,3714053.95,3062,1551,361462.89,3713979.11,726
19322,361504.42,3714173.52,2991,1371,361493.99,3714247.56,2960
19323,361504.42,3714173.52,2991,717,361462.89,3713979.11,726
19324,361504.42,3714173.52,2991,583,361493.99,3714247.56,2960
19325,361504.42,3714173.52,2991,837,361462.89,3713979.11,726
19326,361504.42,3714173.52,2991,498,361462.89,3713979.11,726
19327,361346.66,3714165.87,4274,236,361493.99,3714247.56,2960
19328,361346.66,3714165.87,4274,1270,361493.99,3714247.56,2960
19329,361346.66,3714165.87,4274,667,361493.99,3714247.56,2960
19330,361346.66,3714165.87,4274,1363,361493.99,3714247.56,2960
19331,361346.66,3714165.87,4274,1299,361493.99,3714247.56,2960
19332,361346.66,3714165.87,4274,1596,361493.99,3714247.56,2960
19333,361392.93,3714076.5,3060,117,361462.89,3713979.11,726
19334,361346.66,3714165.87,4274,422,361493.99,3714247.56,2960
19335,361346.66,3714165.87,4274,1379,361493.99,3714247.56,2960
19336,361392.93,3714076.5,3060,855,361462.89,3713979.11,726
19337,361392.93,3714076.5,3060,587,361462.89,3713979.11,726
19338,361392.93,3714076.5,3060,1279,361462.89,3713979.11,726
19339,361346.66,3714165.87,4274,1378,361493.99,3714247.56,2960
19340,361346.66,3714165.87,4274,1985,361346.66,3714165.87,4274
19341,361392.93,3714076.5,3060,456,361462.89,3713979.11,726
