id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
30447,363554.19,3715280.31,3329,626,363570.75,3714999.04,769
30449,363699.86,3715305.75,1478,726,363570.75,3714999.04,769
30453,363720.46,3715312.1,2889,1336,364001.69,3715457.43,1466
30454,363600.02,3715229.12,1211,581,363570.75,3714999.04,769
30457,363554.19,3715280.31,3329,915,363570.75,3714999.04,769
30460,363697.37,3715314.44,1479,227,363570.75,3714999.04,769
30461,363670.73,3715181.78,3319,464,363570.75,3714999.04,769
30462,363692.96,3715349.14,1283,725,363570.75,3714999.04,769
30464,363666.54,3715284.34,3334,618,363570.75,3714999.04,769
30465,363692.96,3715349.14,1283,829,363570.75,3714999.04,769
30466,363697.37,3715314.44,1479,865,363570.75,3714999.04,769
30468,363600.02,3715229.12,1211,323,363570.75,3714999.04,769
30470,363666.54,3715284.34,3334,198,363570.75,3714999.04,769
30474,363593.54,3715150.42,4298,281,363570.75,3714999.04,769
30475,363742.41,3715181.13,3672,688,363570.75,3714999.04,769
30477,363593.54,3715150.42,4298,111,363570.75,3714999.04,769
30478,363526.87,3715272.72,3328,776,363570.75,3714999.04,769
30479,363670.73,3715181.78,3319,468,363570.75,3714999.04,769
30480,363692.96,3715349.14,1283,768,363570.75,3714999.04,769
30481,363668.89,3715223.54,1212,475,363570.75,3714999.04,769
30482,363554.19,3715280.31,3329,711,363570.75,3714999.04,769
30483,363593.54,3715150.42,4298,567,363570.75,3714999.04,769
30485,363742.41,3715181.13,3672,187,363570.75,3714999.04,769
30486,363699.86,3715305.75,1478,667,363570.75,3714999.04,769
30488,363593.54,3715150.42,4298,328,363570.75,3714999.04,769
30489,363666.54,3715284.34,3334,295,363570.75,3714999.04,769
30490,363742.41,3715181.13,3672,642,363570.75,3714999.04,769
30493,363668.89,3715223.54,1212,232,363570.75,3714999.04,769
30495,363763.87,3715410.28,2911,1396,364001.69,3715457.43,1466
30498,363670.73,3715181.78,3319,512,363570.75,3714999.04,769
30499,363763.87,3715410.28,2911,950,364001.69,3715457.43,1466
30500,363692.96,3715349.14,1283,507,363570.75,3714999.04,769
30503,363554.19,3715280.31,3329,691,363570.75,3714999.04,769
30506,363763.87,3715410.28,2911,645,364001.69,3715457.43,1466
30508,363763.87,3715410.28,2911,1522,364001.69,3715457.43,1466
30509,363560.46,3715164.76,3322,422,363570.75,3714999.04,769
30510,363554.19,3715280.31,3329,592,363570.75,3714999.04,769
30513,363699.86,3715305.75,1478,493,363570.75,3714999.04,769
30515,363526.87,3715272.72,3328,781,363570.75,3714999.04,769
30517,363692.96,3715349.14,1283,100,363570.75,3714999.04,769
30519,363723.72,3715226.24,1279,488,363570.75,3714999.04,769
30521,363526.87,3715272.72,3328,496,363570.75,3714999.04,769
30522,363747.25,3715319.79,1471,693,364001.69,3715457.43,1466
30523,363573.17,3715174.51,3931,667,363570.75,3714999.04,769
30524,363558.36,3715265.36,3708,1008,363570.75,3714999.04,769
30526,363747.25,3715319.79,1471,1340,364001.69,3715457.43,1466
30527,363723.72,3715226.24,1279,737,363570.75,3714999.04,769
30528,363629.31,3715259.3,2884,599,363570.75,3714999.04,769
30529,363492.83,3715280.51,1240,206,363570.75,3714999.04,769
30530,363710.63,3715275.57,1278,138,363570.75,3714999.04,769
30532,363747.25,3715319.79,1471,498,364001.69,3715457.43,1466
30534,363526.87,3715272.72,3328,509,363570.75,3714999.04,769
30537,363685.07,3715378.37,1269,607,363570.75,3714999.04,769
30538,363685.07,3715378.37,1269,833,363570.75,3714999.04,769
30539,363492.83,3715280.51,1240,899,363570.75,3714999.04,769
30542,363558.36,3715265.36,3708,707,363570.75,3714999.04,769
30543,363526.87,3715272.72,3328,596,363570.75,3714999.04,769
30545,363723.72,3715226.24,1279,654,363570.75,3714999.04,769
30546,363710.63,3715275.57,1278,491,363570.75,3714999.04,769
30547,363710.63,3715275.57,1278,1311,364001.69,3715457.43,1466
30549,363558.36,3715265.36,3708,248,363570.75,3714999.04,769
30550,363710.63,3715275.57,1278,587,363570.75,3714999.04,769
30551,363685.07,3715378.37,1269,506,363570.75,3714999.04,769
30554,363558.36,3715265.36,3708,483,363570.75,3714999.04,769
30555,363747.25,3715319.79,1471,873,364001.69,3715457.43,1466
30556,363710.63,3715275.57,1278,1142,364001.69,3715457.43,1466
30557,363629.31,3715259.3,2884,203,363570.75,3714999.04,769
30559,363723.72,3715226.24,1279,487,363570.75,3714999.04,769
30560,363573.17,3715174.51,3931,699,363570.75,3714999.04,769
30561,363629.31,3715259.3,2884,693,363570.75,3714999.04,769
30562,363558.36,3715265.36,3708,181,363570.75,3714999.04,769
30563,363685.07,3715378.37,1269,584,363570.75,3714999.04,769
30565,363526.87,3715272.72,3328,322,363570.75,3714999.04,769
30566,363492.83,3715280.51,1240,501,363570.75,3714999.04,769
30567,363747.25,3715319.79,1471,833,364001.69,3715457.43,1466
30568,363710.63,3715275.57,1278,352,363570.75,3714999.04,769
30570,363685.07,3715378.37,1269,307,363570.75,3714999.04,769
30573,363560.46,3715164.76,3322,682,363570.75,3714999.04,769
30576,363629.31,3715259.3,2884,714,363570.75,3714999.04,769
30578,363560.46,3715164.76,3322,477,363570.75,3714999.04,769
30579,363774.49,3715342.76,1473,952,364001.69,3715457.43,1466
30580,363774.49,3715342.76,1473,1270,364001.69,3715457.43,1466
30581,363769.41,3715375.05,2910,505,364001.69,3715457.43,1466
30582,363629.31,3715259.3,2884,639,363570.75,3714999.04,769
30583,363774.49,3715342.76,1473,176,364001.69,3715457.43,1466
